,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
375,Pitimbu,0,BR,1553126400,88,-7.47,-34.81,78.8,4.7
376,Teluknaga,20,ID,1553130915,74,-6.1,106.64,86.0,8.05
377,Visby,44,SE,1553130861,86,57.64,18.3,39.99,9.17
378,Paragominas,88,BR,1553130626,99,-3.0,-47.35,74.55,4.74
379,Rorvik,92,NO,1553130902,91,64.86,11.24,37.0,3.0
380,Vardo,1,US,1553130800,28,39.62,-77.74,48.2,5.82
381,Fairbanks,90,US,1553130650,55,64.84,-147.72,42.01,8.05
382,Vao,0,EE,1553130926,92,59.1,26.19,32.7,9.44
383,Hopkinsville,90,US,1553130807,61,36.87,-87.49,55.99,9.17
384,Eugene,75,US,1553130857,45,44.05,-123.1,66.99,9.17
385,Aksarka,8,RU,1553130927,77,66.56,67.8,14.52,7.76
386,Kitakata,64,JP,1553130102,68,37.67,139.86,55.99,4.0
387,Tocopilla,0,CL,1553130929,100,-22.09,-70.2,63.03,3.74
388,Maroantsetra,92,MG,1553130929,100,-15.43,49.74,72.21,1.39
389,Leh,80,IN,1553130929,80,34.16,77.58,3.54,1.61
390,Barcelos,0,PT,1553130920,81,41.53,-8.62,54.0,6.93
391,Waipawa,32,NZ,1553130497,75,-39.94,176.59,66.99,5.99
392,Kloulklubed,90,PW,1553129400,74,7.04,134.26,82.4,11.41
393,Singleton,75,AU,1553130679,69,-32.57,151.17,78.01,10.29
394,Urucui,32,BR,1553130894,81,-7.23,-44.56,77.79,6.31
395,Vanavara,24,RU,1553130931,81,60.35,102.28,12.72,5.19
396,Port Hedland,40,AU,1553128200,70,-20.31,118.58,89.6,12.75
397,Wanning,0,AT,1553130925,80,48.64,13.53,33.01,1.12
398,Bonavista,24,CA,1553130099,69,48.65,-53.11,24.01,17.0
399,Avera,1,US,1553130933,54,33.19,-82.53,60.8,4.7
400,Umm Kaddadah,8,SD,1553130935,21,13.6,26.69,63.93,8.32
401,Syasstroy,92,RU,1553130936,89,60.14,32.56,32.07,7.54
402,Ales,0,FR,1553130856,56,44.13,4.08,46.4,5.82
403,Novikovo,0,UA,1553130936,100,45.05,34.56,32.34,4.18
404,Tautira,75,PF,1553130786,66,-17.73,-149.15,87.8,4.7
405,Palu,0,ID,1553130938,72,-0.9,119.87,73.02,1.83
406,Rumoi,75,JP,1553126400,87,43.93,141.67,32.0,2.24
407,Olinda,75,EC,1553130903,74,-2.03,-79.75,84.2,12.75
408,Nakambala,0,ZM,1553130940,72,-15.83,27.78,66.09,3.18
409,Sarab,88,IR,1553130941,84,38.61,44.99,27.84,2.62
410,Lagos,20,NG,1553126400,88,6.46,3.39,82.4,6.93
411,Baykit,80,RU,1553130942,69,61.68,96.39,12.45,2.62
412,Lahat,36,ID,1553130943,94,-3.78,103.55,73.29,3.4
413,Hirara,40,JP,1553126400,88,24.8,125.28,78.8,13.87
414,Zhigansk,0,RU,1553130943,42,66.77,123.37,-13.92,3.74
415,Alyangula,75,AU,1553126400,70,-13.85,136.42,89.6,4.7
416,Batagay-Alyta,0,RU,1553130945,56,67.8,130.41,-21.03,4.18
417,Flin Flon,8,CA,1553130946,61,54.77,-101.88,47.19,7.65
418,Bahce,0,TR,1553129400,81,37.2,36.58,45.0,5.82
419,At-Bashi,48,KG,1553130946,85,41.17,75.81,13.89,2.06
420,Lillooet,1,CA,1553130000,24,50.69,-121.94,66.2,5.82
421,Gaoua,80,BF,1553130947,93,10.33,-3.18,71.49,6.2
422,Guymon,1,US,1553128500,21,36.68,-101.48,62.6,8.05
423,Yeniseysk,80,RU,1553130948,87,58.45,92.17,21.27,4.18
424,Washington DC.,40,US,1553130743,45,38.9,-77.04,48.99,5.97
425,Labuhan,0,ID,1553130948,80,-2.54,115.51,78.69,2.39
426,Anderson,90,US,1553130911,43,34.51,-82.65,57.2,3.36
427,Pachino,88,IT,1553130925,99,36.72,15.09,45.0,28.01
428,Hambantota,75,LK,1553127000,100,6.12,81.12,75.2,4.7
429,Winnemucca,90,US,1553126160,87,40.97,-117.74,42.8,9.17
430,Shelburne,90,CA,1553130945,45,44.08,-80.2,44.6,13.87
431,Kungurtug,48,RU,1553130953,61,50.6,97.53,-0.42,3.74
432,Jalingo,8,NG,1553130954,44,10.3,10.93,76.44,5.97
433,Juneau,90,US,1553129580,70,58.3,-134.42,55.4,5.82
434,Christchurch,0,NZ,1553130873,68,-43.53,172.64,75.0,20.8
435,Te Anau,68,NZ,1553130956,73,-45.41,167.72,66.81,3.4
436,Ridgecrest,75,US,1553130887,31,35.62,-117.67,64.4,20.8
437,Sao Gabriel da Cachoeira,24,BR,1553130956,94,-0.13,-67.09,77.52,2.17
438,Sinjar,24,SY,1553130957,65,35.59,37.0,45.39,2.39
439,Akhmeta,90,GE,1553128200,93,42.03,45.21,42.8,3.36
440,Mayo,90,CA,1553126400,43,63.59,-135.9,50.0,12.75
441,Melito di Porto Salvo,75,IT,1553130903,87,37.92,15.77,57.99,2.24
442,Robertson,92,ZA,1553130959,96,-33.8,19.88,54.57,2.62
443,Evensk,88,RU,1553130959,100,61.92,159.24,11.37,23.87
444,Rees,90,DE,1553130957,100,51.76,6.4,48.99,2.24
445,Virginia Beach,90,US,1553130853,100,36.85,-75.98,48.99,5.82
446,Saint Anthony,1,US,1553130922,29,43.97,-111.68,55.4,6.93
447,Copperas Cove,1,US,1553130921,55,31.12,-97.9,66.2,8.05
448,Paraiso,40,MX,1553130616,9,24.01,-104.61,73.4,3.36
449,Inhambane,8,MZ,1553130961,99,-23.87,35.38,76.62,6.64
450,Khrystynivka,0,UA,1553130962,75,48.82,29.97,28.83,6.2
451,Olavarria,0,AR,1553130962,64,-36.89,-60.32,53.85,7.76
452,Pevek,64,RU,1553130963,90,69.7,170.27,-6.81,4.29
453,Tateyama,75,JP,1553130754,63,36.66,137.31,60.8,19.46
454,Mochudi,0,BW,1553130000,30,-24.38,26.15,69.8,4.7
455,Sao Miguel do Iguacu,0,BR,1553130000,94,-25.35,-54.24,69.8,9.17
456,Grand Falls,20,CA,1553130904,43,47.05,-67.74,35.6,6.93
457,Zaraza,0,VE,1553130966,60,9.35,-65.33,81.57,13.58
458,Kattivakkam,40,IN,1553128200,88,13.22,80.32,78.8,6.93
459,North Bend,1,US,1553130933,67,43.41,-124.22,57.2,6.93
460,Quang Ngai,0,VN,1553130852,80,15.12,108.8,70.41,2.06
461,Whitehorse,75,CA,1553130761,32,60.72,-135.06,55.99,13.87
462,Antalaha,48,MG,1553130949,94,-14.9,50.28,77.97,7.43
463,Mount Gambier,90,AU,1553128200,88,-37.83,140.78,64.4,12.75
464,Ancud,92,CL,1553126400,81,-41.87,-73.83,50.0,2.28
465,Port Moresby,40,PG,1553130000,59,-9.47,147.16,91.4,4.7
466,Dom Pedrito,32,BR,1553130966,58,-30.98,-54.67,60.96,11.45
467,Bani Walid,0,LY,1553130971,84,31.76,14.0,50.97,12.68
468,Hovd,0,NO,1553130917,86,63.83,10.7,39.99,10.29
469,Codajas,32,BR,1553130973,95,-3.84,-62.06,76.89,1.5
470,Namatanai,32,PG,1553130974,97,-3.66,152.44,84.0,4.97
471,Tupik,48,RU,1553130974,59,54.43,119.94,8.76,2.39
472,Dargaville,0,NZ,1553130975,58,-35.94,173.86,76.62,13.47
473,Kayerkan,88,RU,1553130975,86,69.35,87.76,21.99,27.78
474,Iqaluit,20,CA,1553130765,67,63.75,-68.52,-22.01,2.24
475,Bida,8,NG,1553130976,77,9.08,6.02,79.77,10.45
476,Dandong,92,CN,1553130976,97,40.12,124.37,42.6,6.76
477,Vilhena,0,BR,1553130769,87,-12.74,-60.15,76.26,2.95
478,Thap Than,0,TH,1553130400,86,15.46,99.89,84.99,0.72
479,Hobyo,0,SO,1553130977,89,5.35,48.53,76.89,10.0
480,Hopelchen,5,MX,1553125380,69,19.77,-89.85,78.8,11.41
481,Alofi,40,NU,1553126400,74,-19.06,-169.92,84.2,12.75
482,Cap Malheureux,40,MU,1553130842,78,-19.98,57.61,80.6,4.7
483,Port Hawkesbury,1,CA,1553130972,53,45.62,-61.36,28.99,4.63
484,Pervomayskiy,0,RU,1553130980,83,53.24,40.29,22.26,3.4
485,Eyl,20,SO,1553130980,100,7.98,49.82,72.75,8.43
486,Hokitika,68,NZ,1553130982,99,-42.72,170.96,64.2,3.96
487,Edosaki,75,JP,1553130904,87,35.95,140.32,64.0,11.41
488,Zilair,0,RU,1553130984,64,52.23,57.44,10.2,1.72
489,Zhezkazgan,90,KZ,1553128200,85,47.8,67.71,21.2,13.42
490,Presidente Olegario,8,BR,1553130962,100,-18.42,-46.42,70.0,4.97
491,Chaykovskiy,92,RU,1553130125,95,56.77,54.11,33.01,1.01
492,Tamasopo,92,MX,1553130986,78,21.92,-99.39,62.22,5.41
493,Beaverlodge,5,CA,1553126400,48,55.21,-119.43,44.6,4.7
494,Bullhead City,75,US,1553130728,30,35.15,-114.57,69.8,9.33
495,Pundaguitan,0,PH,1553130987,100,6.37,126.17,79.59,6.76
496,Timbuktu,0,ML,1553130987,24,16.77,-3.01,69.87,3.96
497,Umba,56,RU,1553130988,88,66.69,34.34,21.81,3.62
498,Necochea,88,AR,1553130776,62,-38.55,-58.74,55.99,3.0
499,Reconquista,20,AR,1553130989,70,-29.14,-59.64,65.73,13.02
